,Top1_rec,Top2_rec,Top3_rec,Top4_rec,Top5_rec,Top6_rec,Top7_rec,Top8_rec,Top9_rec,Top10_rec
21881,21880,21884,21882,21883,21879,22702,72598,23190,21088,85094
21882,21881,21884,21879,21880,21883,47471,21724,21425,85094,16052
21883,21880,21881,21884,21882,21879,10125,22782,84821,21706,21121
21884,21881,21882,21883,21880,21879,82613B,85094,90012A,72598,37444A
21888,23229,22550,21912,21913,21889,21791,21890,22548,21790,22561
21889,21891,21790,21791,23571,21704,21703,21914,22620,21892,21888
21890,21891,21892,22620,22619,21704,21889,21888,21912,22550,22409
21891,21892,22620,21890,22619,21889,22621,21703,21704,22407,21790
21892,21891,22620,21890,21703,22619,22621,21889,21914,22407,84251G
21894,21896,85213,22917,22920,22918,84763,22919,22916,22921,47481
21895,85170A,84658,22803,21370,22375,21205,84313B,22825,84985A,84763
21896,21894,85213,21714,22482,22480,37475,84763,22918,22917,22921
21897,21898,22879,22888,22887,22880,22883,22885,22881,22889,22886
21898,21897,22879,22888,22887,22880,22881,22883,22885,22889,22886
21899,21900,21901,21902,82551,84912A,82552,47310M,84849B,21904,21486
21900,21899,21901,21902,84912A,82551,84849B,82552,47310M,21486,23496
21901,21902,21899,21900,84912A,82551,47310M,84849B,82552,21904,23141
21902,21901,21899,21900,82551,84912A,47310M,82552,84849B,21904,46118
21903,21907,22413,21908,21169,21165,22412,85152,82567,82582,21904
21904,20618,82567,82551,21903,22412,82552,21486,21864,21171,21899
21905,22412,85071A,82567,21163,22116,85071B,21162,21159,21158,21179
21906,22494,21260,35653,22472,84843,84849D,21774,84637,21370,21171
21907,21169,21903,22413,85152,21166,82600,21908,21175,22412,21165
21908,21165,23426,21907,21903,22413,85152,82582,22412,21174,21166
21910,21445,85129C,22323,37461,84499,85131D,20669,90214N,47589,85215
21911,21100,21910,21161,84508A,21904,84691,20618,21163,84849B,85215
21912,22550,21888,23229,21913,22548,21790,22623,21791,21890,22561
21913,22550,21912,20655,21715,22613,21716,21718,21888,22407,22541
21914,21915,21889,22620,21703,23445,21704,23179,21892,21790,21791
21915,21914,21889,21703,23179,21704,21465,22620,22280,23461,21791
21916,21918,21917,21666,85094,75011,22229,84692,47471,21027,21684
21917,21918,21916,22545,20662,22614,22540,84743C,20964,84227,22315
21918,21916,21917,22489,22538,85176,23507,22546,46776D,20997,23496
21922,84795B,17028J,84795C,85208,21925,84968E,22354,22799,21465,35933
21925,21927,21926,46000S,20839,46000U,46776D,84251G,46000M,90155,20840
21926,21927,21925,46000S,85208,79030G,46776D,20840,46138B,22269,46000U
21927,21926,21925,46000S,46000U,85208,20839,20840,46776D,46000M,90152A
21928,21929,22411,85099F,85099C,22386,23581,22385,22663,23582,21931
21929,21928,22411,22386,20711,23581,85099F,85099C,20712,22385,21930
21930,22385,22386,22663,20713,20712,20727,85099C,23343,22437,21967
21931,20713,22385,85099C,21928,23200,22411,22383,23202,23199,21930
21932,21933,84660A,35818P,21043,21089,21937,21402,35923,81952V,22662
21933,21932,22662,35818P,84660A,21402,21937,21043,21089,21905,35923
21934,21935,46118,21628,35653,85131D,21581,20700,71406C,90018B,22327
21935,21934,62086A,46118,16218,85071B,22379,21116,22380,71270,22355
21936,21937,20725,22384,20727,22308,22379,20728,22296,22276,46138B
21937,21936,21459,22662,37475,21078,21460,21933,15058C,84989A,21446
21942,21945,21445,84499,22323,37461,90214N,21425,90214R,21910,90214V
21943,21946,84925D,21087,21095,21196,21721,21948,21719,21195,20966
21944,21945,62094B,22184,21723,20735,72817,21726,21724,90214M,90214J
21945,21942,21944,20735,21445,21726,90003D,84989A,90214M,21827,20670
21946,21943,90214G,90214H,90214D,90214J,21095,90214M,90214S,90214L,90214A
21947,21949,22136,22346,21948,20735,21208,21445,84228,22345,20861
21948,21949,90087,21947,21095,40016,16048,22346,22345,90072,85131B
21949,21948,21947,22135,22136,85131B,44242B,47421,47341A,20659,90087
21955,48185,48184,48129,84527,48111,22660,21523,22366,48188,21524
21967,21982,21981,21980,21983,21984,22614,21986,21985,22553,22615
21972,22416,21211,22949,22124,21973,37479P,90141C,90141A,21827,90141E
21973,22416,22949,21972,21211,20659,22417,20663,21630,20964,84743C
21974,84987,21210,84988,23306,22949,22416,21211,21973,21446,21972
21975,22417,22951,21977,21213,84991,21976,23308,84992,23307,21212
21976,22417,21975,21213,22951,21977,21212,23309,23307,23308,72132
21977,21975,21212,84991,22417,22951,84992,23307,21976,23308,21213
21980,21983,21982,21984,21986,21981,21985,21967,23379,22614,22096
21981,22615,21982,22614,21980,21983,21984,21986,21967,21985,23379
21982,21980,21983,21981,21967,21985,21984,21986,22615,22614,23381
21983,21980,21984,21982,21981,21986,21985,21967,23379,22615,22614
21984,21983,21980,21986,21982,21981,22614,21967,21985,22615,23378
21985,21982,21986,21980,21983,21984,21981,21967,22614,22096,23381
21986,21984,21980,21982,21985,21983,21981,22614,21967,23551,22096
21987,21988,21989,22332,21086,21207,21094,22437,22613,22334,22333
21988,21987,21989,22332,21086,21094,21207,22437,22613,22334,22333
21989,21987,21988,22332,21207,21086,21094,22437,22613,21544,21080
21990,21991,21993,21992,85032B,85032C,85015,85032A,21328,84595E,23196
21991,21990,21993,21992,85032B,85130B,85015,84510C,21058,85129D,85032C
21992,21993,21991,21990,85032B,85032D,85032A,23187,85032C,85015,17012A
21993,21992,21991,21990,85032B,21328,35648,85130B,22324,84913B,22210
22021,85206A,21717,35912B,22241,85205B,22860,22858,22808,84459B,22256
22023,22024,22028,22026,22027,22715,22712,22029,22037,21509,22714
22024,22028,22025,22715,21508,22026,22023,22037,22027,22814,21509
22025,22814,22024,21508,22716,22028,21509,21507,22027,22717,22714
22026,22027,22028,22715,22817,22819,22024,22983,22712,22717,21506
22027,22712,22029,21508,21509,22037,22028,21507,22026,22716,22715
22028,22024,22027,22714,22026,22712,22025,21508,22037,22715,22814
22029,22027,22037,22712,22716,21507,22714,21508,21509,22814,22028
22030,22983,21506,22026,22715,22028,21519,22815,22037,22984,22024
22031,22032,22717,22026,22028,22718,22024,22817,22814,22819,21509
22032,22031,22819,22024,22026,22028,22715,22984,22718,22814,22817
22033,22028,22718,22024,22814,22031,22717,22716,22037,22032,21507
22034,21696,85135B,22362,21693,21688,21694,22042,21014,21695,21769
22035,21508,22817,22028,22026,22712,22717,22819,22024,22984,22037
22037,22716,22029,22027,21509,22028,22024,22717,21507,21508,22026
22038,22040,85131D,90177D,37468,84226,90059C,79161A,90103,84569C,90141D
22039,72709,85131D,16169K,90166,20964,84743C,84227,90101,84569C,90103
22040,22038,22707,22986,22769,85131D,85055,90184A,20622,23549,47348A
22041,82001S,21137,21367,21368,90211A,16010,35001G,90208,20655,90059F
22042,84247E,22816,22818,22044,21473,84247N,23354,23597,20756,90098
22043,22044,22049,22339,22818,72799E,21506,72799F,21287,22306,84875B
22044,22043,22049,22572,47593A,22818,37468,16162L,22339,71270,16236
22045,22708,23549,16161U,21495,23230,22046,23231,16161P,22986,16156S
22046,22708,22709,22048,23230,22045,16161U,22706,22986,22985,16156S
22047,23230,22985,21497,21495,16156S,22986,16161U,21498,23231,23233
22048,22985,22046,16161U,22045,22708,23230,23549,21497,22986,22047
22049,37479P,47369B,84226,90141C,90141A,84801A,16206B,37468,90101,90103
22050,22051,16161P,23547,21499,23549,16156S,22704,22986,22707,71496A
22051,22050,22707,21499,23548,23549,16161P,22704,22769,22048,21497
22052,16156S,22706,16161P,22985,37468,22707,16161U,22051,22050,84913A
22053,20694,21626,20700,23410,84984B,84984A,21194,21263,20701,84462
22055,22063,37446,22061,22057,22059,22649,37447,37450,21231,22644
22057,22063,37447,22061,22059,22055,37446,37450,37448,37449,22649
22059,22649,37447,22057,22063,37448,22055,22067,22646,37450,37446
22060,22062,35598D,20997,21360,22066,22769,21628,20826,22308,84402B
22061,22063,22057,22055,37449,37446,37447,22059,37489B,37489C,37450
22062,22060,22066,85071A,35924,22647,22100,85071D,85071C,22059,21109
22063,22057,22061,37447,22055,22059,37446,37450,37449,22649,37448
22064,22067,21231,22647,21232,22066,22649,22059,22065,37450,22644
22065,72818,22066,22064,84596G,22647,35967,22187,22067,79163,72816
22066,22062,22647,85071A,85111,22099,35933,22064,81952V,84206C,22065
22067,22064,22059,37450,22647,37447,22066,22649,21231,21232,35599B
22068,22069,21679,22650,72131,21807,21504,21224,16258A,21544,23242
22069,22068,79161A,21827,84569C,21372,90149,84743C,20964,84227,90177D
22070,22071,21531,21218,21539,21537,90059F,22135,21147,21216,72780
22071,22070,90059F,21531,21218,37501,16010,84673B,84707B,35443,72132
22072,21527,21531,22073,21844,21539,21216,21218,21535,21843,21537
22073,21531,21527,21539,21844,21535,22072,21216,21533,21537,22199
22074,85049D,85049H,85049C,22076,85049G,22318,47504H,22108,23548,85049E
22075,85049A,85049E,85049C,85049H,85049D,85049G,22074,22076,85049F,84341B
22076,22074,85049H,85049C,85049E,85049G,85049D,22077,22075,22448,22408
22077,85049E,85049C,85049G,85049D,22076,22079,85049H,22075,22080,22452
22078,22081,22082,22079,22080,23515,23514,23511,22735,85049F,84898F
22079,22082,22081,22080,22078,85049F,22077,21446,85049D,85049G,72586
22080,22082,22079,22081,22078,85049F,85049D,85049C,23515,22739,22077
22081,22079,22082,22078,22080,22736,22739,22735,21486,23515,35958
22082,22079,22080,22081,22078,22739,22736,22735,21034,21742,22696
22083,22085,22086,22910,22911,21207,20702,21201,21206,23569,84821
22084,22499,21626,21878,21621,22498,22284,22781,85198,22358,22262
22085,22437,21207,21544,21679,21989,21987,21224,22332,22083,22911
22086,22910,22083,22909,20755,22085,22812,23319,23320,84199,20761
22087,22088,22089,22769,18098C,21199,21187,21422,21194,85087,35241
22088,22089,22090,22087,22769,84926D,35913B,85179C,37475,16052,21666
22089,22090,22088,22087,23597,84510E,22487,21974,84510A,21468,84509A
22090,22089,22088,84510E,35833P,22499,23597,84510A,16218,22236,21666
22091,22093,22099,81952V,22094,22097,22092,22098,85071A,82616C,81952B
22092,22094,81952V,22093,21402,84206A,35968,22091,85208,21401,84915
22093,22099,22097,22091,22094,22098,22095,22092,22100,85071A,21905
22094,22093,22092,22099,81952V,22096,22097,22091,22100,47593B,81952B
22095,22093,22097,22099,22098,20622,22094,51020B,21162,22108,47563A
22096,22094,81952V,20616,22097,22093,22092,22099,21983,84951A,21984
22097,22098,22093,22099,22094,22100,22091,22095,82616C,22096,22092
22098,22097,22099,22093,16161G,22091,22095,21158,35819B,84926A,22094
22099,22093,22091,22098,22094,22097,22100,22095,85071A,22396,21905
22100,22396,22093,22097,22099,21581,22094,21088,22124,16052,84805B
22101,22102,84711A,72369A,17007B,21849,85107,20655,22105,20670,84226
22102,22101,72369A,90059C,35815P,90083,90101,17007B,DOT,90141E,90141D
22103,22105,22101,84711A,22102,22106,84854,37444B,84600,72799F,84415B
22104,72369A,71406C,16206B,84226,90141D,90141E,90076,20678,90101,90103
22105,22103,22106,22102,22101,84711A,90021,72024U,72802A,90185B,72802C
22106,22105,22102,22103,22465,21324,22476,90021,72024U,84877A,22156
22107,22109,20966,22190,20662,21657,22136,16207B,21064,20936,17165D
22108,20662,22124,90101,DOT,85131B,90141D,90141E,90076,20678,90103
22109,22107,21064,20966,23496,20686,22862,21065,22190,21355,85096
22110,21484,85071A,85071D,23538,22091,16169P,23402,21026,84031B,85071B
22111,21485,23356,22113,22112,22835,21484,84030E,21481,23355,84031B
22112,22835,22114,23355,23356,22111,23357,22108,21485,22113,84029G
22113,21485,22111,84030E,21484,23356,22110,23083,22835,22112,22062
22114,22112,22835,23355,23357,23356,84030E,22111,21481,23411,23358
22115,22358,21905,22406,22357,85071D,21530,82567,85071C,21875,82599
22116,21905,85071C,21158,85071D,85071B,21159,21163,21162,85071A,84519B
22117,82567,22413,21905,84927F,21903,21163,20618,84596G,21158,21171
22118,22119,22121,22512,85168B,21739,21821,85118,21755,21754,51020B
22119,22118,22121,21755,21754,21756,22120,22512,72818,23015,85168B
22120,21756,21754,21755,22121,22119,22118,84707B,21172,22956,20662
22121,22119,22118,22120,21754,22598,21755,21756,22512,85168B,22152
22123,84596G,84596L,22124,84596F,35923,84596B,22422,84660A,85071C,35809A
22124,85131B,DOT,90083,84569C,90103,90101,90177D,90141D,90141E,90076
22125,79062D,17012A,21738,17012B,20869,84192,17096,17038,84508B,22995
22127,22128,84461,21763,21460,90059B,22132,90059C,21370,90059E,20663
22128,22129,22127,90059F,90059E,47599A,90059B,16259,90059C,47599B,20663
22129,22128,20663,90205C,90059C,84206A,90059B,90166,84509E,85008,16206B
22130,21809,23094,21819,21810,21014,21817,85114C,21822,35610C,35610B
22131,22195,22196,22132,22136,22133,21564,84050,21563,21355,22135
22132,22133,22135,22136,22131,23122,22134,22195,79161A,90205C,90059F
22133,22132,22135,79161A,90205C,90101,90141D,90076,90141E,20678,90103
22134,22135,22137,85131B,84402B,47471,DOT,47341A,84743C,20964,84227
22135,22134,90141D,90141E,90076,20678,16206B,90103,90101,90205C,90141A
22136,22135,22132,21947,22131,21827,21949,90205C,16207B,22133,85131B
22137,22134,22135,90141A,90141C,90083,84402B,90149,90205C,DOT,84743C
22138,22617,22139,21413,85179A,23348,21446,21609,40016,23490,22467
22139,22138,23348,22617,22483,22445,22481,84711A,21051,21288,21537
22141,22144,22142,22940,23494,23128,23275,20971,84519B,22150,23048
22142,22144,22141,22940,22149,22150,20971,22751,22750,22147,90214B
22144,22142,22141,22940,23494,21328,22149,90214B,20971,85078,84352
22145,22307,20681,22306,22021,85114B,20967,20686,85206A,21914,22300
22146,84745B,84745A,84580,22977,22702,22974,35913B,22300,84581,22175
22147,22150,22149,22274,22751,22271,20972,20971,22569,22749,22570
22148,22860,22241,22858,22248,22262,22967,22250,85187,22857,85194L
22149,22150,22147,22273,22274,22271,22142,22751,22569,22570,20971
22150,22147,22149,22274,22273,22751,22271,22750,22749,22568,22148
22151,22152,21447,23153,23102,23152,22163,22156,47343A,21775,84558A
22152,22151,22135,21447,84984B,84984A,22642,21445,90205A,47422,37468
22153,22155,22154,22156,23219,20894,21817,18094C,21822,90032,21809
22154,22153,22155,21817,23219,21819,21809,21810,21822,22156,22161
22155,22153,22154,21817,21819,22156,21818,21822,21807,22161,21809
22156,85062,85129C,22155,85061W,84847,22153,21385,85129D,85131D,90016A
22157,90165B,35004P,90160A,20671,90200D,90200A,22153,90200E,90036C,90200B
22158,23131,21849,21820,22154,22156,22153,21815,20894,21850,21846
22161,22340,85130B,22597,22155,37342,23187,21811,85111,20839,22338
22162,90055,90129A,90129B,90129F,90029,22156,84821,21742,90129C,90160C
22163,35967,22338,84341B,35964,23469,21015,22164,22340,22944,85094
22164,22163,22187,85031B,22222,22236,23080,78034B,22215,22195,20978
22165,85020,22167,22166,72351B,72349B,72351A,20622,85036C,72802C,23370
22166,85020,22165,90214M,90214J,21416,90214H,84751B,90214G,72349B,21846
22167,22165,85020,85131D,35819B,22703,85129C,21846,84507C,35598A,21332
22168,22487,84763,22200,21454,21403,22032,21769,16248B,22829,21269
22169,22170,22171,22768,22796,85053,21360,23092,84617,22770,20867
22170,22169,22171,22768,23457,23456,22796,22767,22832,23460,23335
22171,22170,22169,22173,23112,22829,22832,85064,23400,10002,23148
22173,84792,22171,84406B,22212,22862,84849D,21272,35954,22435,84799
22174,21427,84661B,22396,22041,21336,23190,22375,22407,20830,22376
22175,22176,84931B,84931A,22483,22451,84580,22450,22320,20696,20694
22176,22175,84931B,84931A,22483,22451,84580,20694,22320,20696,22449
22178,84949,22460,84755,85062,84760S,22784,72598,35610B,35610C,85159B
22179,22468,79302M,22780,22779,21722,22564,22563,23079,47480,90018B
22180,20997,21672,21668,20665,22503,20826,21927,84800L,22769,84658
22181,16238,22422,20652,21657,22095,22190,20657,23493,20662,16236
22182,21683,71406C,75178,21684,84915,20654,90205A,23160,20794,20763
22183,22182,23160,72800D,22721,23316,22363,84683,84692,21147,22310
22184,62094B,37444C,21944,22448,85144,84631,21657,22546,79067,21058
22185,22488,22456,22486,21441,21917,23091,21442,47504H,47481,84805B
22186,22187,72818,35964,72816,35967,22340,22339,21262,21811,72817
22187,22186,23133,22163,35967,22065,22189,22589,72818,22188,35933
22188,22189,23134,22588,22187,23133,23135,37468,35598A,47480,16169P
22189,22188,23134,23133,22187,22588,84898F,35819B,22589,23137,23135
22190,22108,20662,22314,22107,84313C,22312,22422,22181,85017C,72812
22191,22193,22192,23342,23341,22194,22729,22625,23183,22374,23315
22192,22193,22191,23342,23341,22194,22729,22374,23183,22625,22627
22193,22192,22191,23342,23341,22194,23183,22625,23315,22624,23316
22194,22193,22192,22191,16207B,35810B,23342,23341,17012E,22270,21372
22195,22196,22131,22132,84050,22136,22133,22308,23422,84378,22135
22196,22195,22131,84378,22132,22308,23422,84050,22133,22134,84993A
22197,22198,21947,21372,22345,23123,23102,78034B,22344,22953,21263
22198,23123,22136,22132,21949,84989A,17129F,22133,46138B,22135,84789
22199,22203,22200,22201,22204,21539,21531,47341A,22474,84968D,22471
22200,22201,22204,22202,22203,22199,71403,22207,47341A,22135,84952A
22201,22204,22200,22203,22199,47341A,84968D,35810B,20910,16206B,84251G
22202,22200,22203,47341A,22134,84952A,22135,16206B,90032,22204,71403
22203,22199,22204,22201,22200,22202,21537,21539,47341A,21531,84968D
22204,22201,22200,22203,22199,90208,21827,20910,84968D,85131B,84251G
22207,22200,22204,22201,21867,22202,22199,21464,85039A,22203,22476
22208,22210,22209,20996,22211,21642,20992,51014L,51014C,21636,51014A
22209,22210,22208,20996,21642,16218,16045,22211,21650,22400,22608
22210,22209,22208,22211,20996,22400,51014L,84929,16045,20992,16218
22211,22210,22208,20996,22209,16219,16216,84857C,35958,22403,16236
22212,84406B,22244,22219,22245,22297,82613C,22243,21272,21390,22173
22214,90072,90149,21827,90145,84743C,84227,20964,20861,35913B,90141E
22215,22221,22220,21286,22074,23073,21537,22236,85163A,47504H,22072
22216,84531A,84531B,47594B,84915,21441,71406C,35598B,21372,20663,84743C
22217,22500,22219,84715,22496,22497,22216,84609,84951B,21822,22118
22218,22942,15058A,16012,22943,22941,21913,62018,22061,22203,16169N
22219,22335,22227,22294,85061W,22212,22252,22136,21390,21774,22216
22220,22221,22236,22223,22182,22322,22222,22215,85024B,22321,35599B
22221,22220,22223,22236,22063,84969,22057,22061,21972,22215,84968A
22222,22223,22236,22220,22221,72818,84823,90027A,90027D,84821,22529
22223,22222,22221,22220,22236,85024B,84821,22511,85092,21654,21882
22224,23409,84422,21157,44234,85130D,84637,22377,85008,22465,22464
22227,85129D,85061W,85129C,22335,85130C,22219,85131D,17129F,22156,22297
22228,22229,22247,85187,22250,21454,22249,21455,85186A,22248,22231
22229,22228,21454,22268,22247,85187,22267,21455,22249,22248,22250
22230,22233,22231,35818P,22232,35968,35967,85160B,22268,85203,84629
22231,22233,22230,22228,22248,22229,22268,22232,22250,22247,22249
22232,22233,22231,35968,22230,21402,85204,22396,79063C,85111,84926E
22233,22231,22230,22232,22268,22229,22248,85203,22228,22247,22267
22236,22220,22223,20803,22221,35965,85024B,22222,84913A,84916,21318
22241,22250,22249,85194L,85206A,22228,21383,84459B,22247,22267,22287
22242,21439,21717,22243,22255,85205B,84805B,22254,22615,35924,37444A
22243,22244,22245,21272,22242,10002,22912,21439,22212,23281,23506
22244,22245,22243,22212,21439,22250,22262,47341A,85199L,22231,21249
22245,22244,22243,85055,22446,85199L,22448,47593B,23224,47341A,21028
22246,85131D,62018,85203,17107D,22233,22701,15044B,85129C,47563A,21628
22247,22250,22248,22249,22228,22229,85187,22251,22266,21456,85194L
22248,22250,22249,22247,22251,22229,22268,22228,22231,22267,22233
22249,22250,22251,22248,22247,22286,22267,22266,22228,22287,84459B
22250,22249,22247,22248,22251,22228,22267,22266,85187,85194L,22229
22251,22249,22248,22250,22247,22292,22286,84459B,22267,22228,22287
22252,35819B,47343A,47594B,47016,22363,21208,20663,21209,85008,37468
22254,22255,85094,84915,21439,46118,84461,85208,22264,22308,22232
22255,22254,21439,22264,22259,85173,22258,85208,22242,23480,22257
22256,84459B,22258,22257,22270,85187,85194L,22259,22860,84218,22228
22257,22258,23692,22259,22256,22808,20696,21717,84459B,85188A,84218
22258,22259,22257,22256,22808,22249,22228,84459B,85187,85188A,84218
22259,22258,22257,22256,85187,84218,22264,85194S,22249,85208,22808
22260,22261,22262,21460,23467,21459,44242B,90018B,84461,16169P,90141B
22261,22260,22262,21460,21459,22229,22267,22038,22263,22269,22228
22262,22261,22260,22263,22860,22229,21460,21459,22967,84461,85200
22263,84206A,22262,84805B,90087,90177D,85059,84226,20663,90166,22108
22264,22255,22254,22259,22258,22257,22957,22242,21202,23125,22967
22265,22267,22249,22250,22288,22292,21389,22248,22289,22266,22291
22266,22286,22267,22268,22287,22249,22250,22247,85203,85187,22229
22267,22286,22268,22266,22249,22287,22250,22229,22269,22248,22228
22268,22267,22266,22229,22287,22286,22233,22248,22249,22231,22228
22269,22267,22268,22266,22285,84452,22287,22286,22038,35912B,22261
22270,84459B,22266,22289,22249,22250,22256,85187,84459A,22288,22247
22271,22274,22273,22751,22749,22750,22272,20970,22147,22150,20969
22272,22271,22751,22274,22749,22750,22273,85017C,22147,47369B,72132
22273,22274,22271,22749,22751,22750,22940,22150,22149,22272,72800C
22274,22271,22273,22751,22749,22750,22272,22150,20970,20969,22147
22275,84950,21833,21115,21741,21408,85225,84534B,84975,21738,22766
22276,22277,20910,84801A,22279,22278,21486,46138B,17007B,72132,90208
22277,22276,20867,22278,84801A,20652,20910,84712B,21849,84912B,17007B
22278,22277,20657,22276,84801A,20910,20619,21147,20670,20769,37479P
22279,22280,22276,20769,20910,85087,72132,84801A,20794,90152A,84882
22280,22279,22504,20769,72132,90152A,20910,20661,71496A,90166,85095
22281,22249,85186C,85188A,22292,85187,22248,22287,21455,22265,21454
22282,22283,85055,22642,84951B,21781,85170C,20794,20795,21784,20910
22283,22282,90074,90028,22642,84804A,85198,22861,21117,85086A,85232A
22284,22285,22229,22267,22247,22250,22287,22228,22266,22249,22248
22285,22284,22247,22267,22229,22250,22266,85187,22292,22228,22269
22286,22287,22267,22266,22249,84459B,22268,22250,22251,22247,22288
22287,22286,22267,22266,22249,22268,22250,22247,84459B,22288,85187
22288,22289,22292,22249,22293,22291,22287,22266,84459B,85187,22286
22289,22288,35915C,85187,22291,84459B,22287,22270,22293,22292,22249
22291,22293,22292,22288,22289,22248,22249,22250,22251,22247,21389
22292,22293,22291,22288,22249,22251,22248,22267,22250,22289,84459B
22293,22291,22292,22288,22289,21389,22266,22251,22265,22249,22248
22294,21390,22295,22297,22219,23226,22227,35971,35961,22335,23228
22295,22294,22297,23068,22296,35961,23228,21390,84836,23462,23226
22296,22297,22295,22335,21390,23226,35833P,23228,85232B,85095,84661A
22297,22296,21390,23226,22295,22294,21385,35961,22227,23415,23482
22299,22257,16258A,21650,90214F,90214O,90214T,90214W,90214U,90214Z,21614
22300,22301,22302,22303,22304,22305,22971,22350,22970,20662,22246
22301,22300,22302,22303,22304,22305,22971,22350,22970,20662,22908
22302,22303,22301,22300,22304,22305,22908,21666,22705,22895,23115
22303,22302,22301,22300,22304,22908,22305,21666,22705,22895,23115
22304,22305,22303,22302,22300,22301,20869,23695,20662,22482,23044
22305,22304,22303,22302,20867,22300,90003D,90059F,22439,22301,22703
22306,22307,84859B,35967,84661A,20616,16048,84661B,90086,35968,35922
22307,22306,84859B,22145,84661A,22049,84859A,20616,37482P,22311,84859C
22308,22309,84743C,20964,84227,90141A,90141C,21827,90205C,79161A,20678
22309,22308,35968,84226,47422,84743C,20964,84227,21556,16010,90141A
22310,22312,22314,20615,20617,22313,20652,20618,20654,20655,21850
22311,22312,22314,22313,20654,20617,20615,21065,20652,20618,23184
22312,22311,22314,22313,22310,20615,20617,20654,22190,21065,22422
22313,22314,22312,22311,22310,20617,20654,20615,51020B,20618,21065
22314,22312,22313,22311,22310,21065,22190,51020B,22074,20617,21676
22315,85095,21445,90059F,22316,17129F,22135,20794,84915,47518F,21664
22316,21987,22315,21445,21989,20655,21972,21882,21988,17129F,21207
22317,46776F,22320,22325,46776D,84685,85163A,84509E,44242B,20964,84743C
22318,22325,22320,22074,84685,20769,20702,71496A,21114,85163A,21441
22319,84819,84820,22095,21680,21418,16237,47348A,21415,21417,21675
22320,22325,22318,22317,21249,21251,20702,22483,85095,46776F,46000R
22321,22322,35915B,35241,46000R,20696,21401,21459,22181,22483,21441
22322,22321,35915B,35916C,85194L,22247,84748,22228,22256,84459B,22220
22323,22323,84499,90214N,90214V,90214R,21416,90214M,21357,21661,17090D
22324,90072,90149,85131C,90083,20662,21028,90177D,DOT,90141C,90141A
22325,22320,22318,20702,22317,85131C,85095,35815P,22483,72369A,84462
22326,22328,22327,22329,22631,22629,22630,21559,22662,84429A,20726
22327,22326,22328,21425,22329,21558,21427,22475,21327,21559,21934
22328,22326,22327,21559,22329,21558,22352,21561,22631,22378,21096
22329,22628,22326,22327,22328,21559,84882,21561,90108,21558,22344
22331,22333,21058,22334,22332,21724,23388,22615,21086,22547,21518
22332,21987,21988,21989,22334,22437,22333,21207,21058,21086,22436
22333,22332,22331,21086,22334,21094,21058,21987,21988,22378,22315
22334,22332,21059,22331,21058,22333,21060,21063,21061,21987,21988
22335,22219,22336,22227,22296,20846,23414,22338,21818,35961,22337
22336,22339,35964,21823,22338,22335,21015,84341B,21261,21811,22340
22337,72709,22339,20910,37468,46138B,21815,90141E,90141D,90076,20678
22338,22339,22340,22577,22336,35964,22578,35953,22163,21823,22579
22339,22338,22336,22340,35964,22337,23222,22579,22598,72709,21823
22340,22338,22339,22578,22161,22579,20839,22577,21823,22336,35964
22341,22342,22479,23447,23446,85131D,21068,22136,84952A,22477,21028
22342,22341,35964,21014,85130B,21823,21811,21015,85094,22163,22161
22343,22344,22346,22345,21246,84531B,84596B,84251G,21947,23189,21202
22344,22345,22346,22343,21246,47310M,84251G,20674,21096,84531B,21088
22345,22344,22346,22343,21246,84251G,20910,84531B,90177D,47310M,20964
22346,22345,22344,22343,22929,21246,21947,21096,84531B,21088,21948
22348,21154,21218,21539,21531,21535,22131,23499,21035,21157,22134
22349,22350,22300,21661,22301,22701,79151B,84658,23342,22246,22154
22350,22349,22300,21661,22301,21784,22246,21336,85131D,22719,21662
22351,22516,22517,22522,22515,22514,21927,22523,20829,21926,37450
22352,21559,21558,21561,22328,21949,22329,22628,22327,47481,21556
22353,22352,21558,21559,21561,23440,20731,84872A,84466,21564,16248B
22354,20910,84789,21486,84968E,72709,46776D,72801G,22345,84527,46138B
22355,20719,20724,23205,20723,23204,22356,22661,16218,21935,16236
22356,20724,20719,20723,22661,22355,23204,23205,22133,22132,20717
22357,22358,22359,21875,22115,21622,22611,22363,20619,21745,22476
22358,22357,22115,21875,22359,22406,22500,22495,22394,21622,85144
22359,22363,22364,22362,22361,22360,22357,84847,84843,85008,84842
22360,22364,22363,22359,22361,22362,84842,21774,84843,21171,21775
22361,22362,22363,22364,22359,22360,84843,21774,21773,21775,23415
22362,22361,22363,22359,22364,84843,22360,21774,21171,84847,21445
22363,22364,22361,22359,22362,22360,84843,21171,21774,84847,85008
22364,22363,22360,22361,22359,22362,84843,21774,21775,85008,84847
22365,22414,22691,22366,20617,22412,85095,21627,21445,21523,22936
22366,48111,22365,22494,48129,22414,22691,21523,71510,85064,21630
22367,47591D,22899,21156,22898,47567B,22939,22990,37468,21063,22613
22371,22372,22374,22376,22375,20774,20694,20619,20661,22428,20794
22372,22371,22375,22374,22376,20774,20694,79066K,20619,20661,20657
22374,22371,22376,22372,22375,21577,20661,20774,20794,20694,21370
22375,22372,22376,22374,22371,20619,79066K,20661,21370,20694,84313C
22376,22374,22375,22372,22371,20661,21577,84519B,21370,20619,79066K
22377,22378,82011C,82011A,22345,85163B,21286,22343,21042,22072,82011B
